Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0023744165052893,-0.000719245646635121,0.0776360386924418,0,0,0,5.27952238409757,0.0252589999982715,-4.00780357406341E-06,0.000212888528135046,0.0530723144199516,-8.30467178992748E-06,0.0719276378872769,0,0,0,0,0,0,package://aihitplt/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aihitplt/meshes/base_link.STL,,外观装配体006^aihitplt-1/中间灯层集合^外观装配体006_aihitplt-1/中间支撑结构^中间灯层集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/中间灯层集合^外观装配体006_aihitplt-1/亚克力片^中间灯层集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/左侧盖板集合^外观装配体006_aihitplt-1/侧面壳单独^左侧盖板集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/7寸屏^黑壳集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/旋钮屏^黑壳集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/深度相机02^黑壳集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/超声波（客户图）^黑壳集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/超声波（客户图）^黑壳集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/防撞胶条^底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/底盘件^底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/防撞胶条^底盘装配集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/磁导航传感器^底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/左侧盖板集合^外观装配体006_aihitplt-1/超声波（客户图）^左侧盖板集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/左侧盖板集合^外观装配体006_aihitplt-1/开关按钮^左侧盖板集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/急停按钮^黑壳集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/天线圆形^黑壳集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/滑动盖^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/铁皮圆环^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/顶盖板^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/铁皮圆环^承托盘集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/铁皮圆环^承托盘集合_外观装配体006_aihitplt-4;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/铁皮圆环^承托盘集合_外观装配体006_aihitplt-3;外观装配体006^aihitplt-1/无线尾部充电^外观装配体006_aihitplt-1/后组件^无线尾部充电_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/超声波（客户图）^黑壳集合_外观装配体006_aihitplt-3;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/超声波（客户图）^黑壳集合_外观装配体006_aihitplt-4;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/天线圆形^黑壳集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/线卡^底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/无线尾部充电^外观装配体006_aihitplt-1/自动回充_回充装备(客户图)^无线尾部充电_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/右侧盖板集合^外观装配体006_aihitplt-1/上壳装饰件^右侧盖板集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/激光雷达^黑壳集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/中间灯层集合^外观装配体006_aihitplt-1/亚克力片^中间灯层集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/右侧盖板集合^外观装配体006_aihitplt-1/超声波（客户图）^右侧盖板集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/急停按钮^黑壳集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/右侧盖板集合^外观装配体006_aihitplt-1/电压表^右侧盖板集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/右侧盖板集合^外观装配体006_aihitplt-1/旋钮开关^右侧盖板集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/右侧盖板集合^外观装配体006_aihitplt-1/开关按钮^右侧盖板集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/2寸万向轮^底盘装配集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/万向轮安装板^底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/2寸万向轮^底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/进出推块^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/万向轮安装板^底盘装配集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-2/驱动轮^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/中间灯层集合^外观装配体006_aihitplt-1/灯带^中间灯层集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/支架002^底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-2/减震龙门架^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-2/轮仰角^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-1/减震龙门架^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-1/驱动轮^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-1/轮仰角^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-2/光轴滑轨^仰角装配_底盘装配集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/连杆^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/2寸万向轮^底盘装配集合_外观装配体006_aihitplt-4;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/2寸万向轮^底盘装配集合_外观装配体006_aihitplt-3;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/万向轮安装板^底盘装配集合_外观装配体006_aihitplt-4;外观装配体006^aihitplt-1/无线尾部充电^外观装配体006_aihitplt-1/小孔安装片^无线尾部充电_外观装配体006_aihitplt-3;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/万向轮安装板^底盘装配集合_外观装配体006_aihitplt-3;外观装配体006^aihitplt-1/无线尾部充电^外观装配体006_aihitplt-1/小孔安装片^无线尾部充电_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/替换后盖^外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-1/光轴滑轨^仰角装配_底盘装配集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/连接片^底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/连接片^底盘装配集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-2/滑块10^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-1/滑块10^仰角装配_底盘装配集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-1/滑块10^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/中间灯层集合^外观装配体006_aihitplt-1/灯带^中间灯层集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/进出推块^承托盘集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/中间灯层集合^外观装配体006_aihitplt-1/灯安装条^中间灯层集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-2/光轴滑轨^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-2/滑块10^仰角装配_底盘装配集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-2/弹簧支承板^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/轨道^承托盘集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/雷达安装座^黑壳集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-1/弹簧支承板^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/中间灯层集合^外观装配体006_aihitplt-1/灯安装条^中间灯层集合_外观装配体006_aihitplt-4;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/轨道^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-1/光轴滑轨^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/甲壳虫锁^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/甲壳虫锁小头^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/压条^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/插销^承托盘集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/插销^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/方磁铁^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/支架002^底盘装配集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/方磁铁^承托盘集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/锁片安装^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/螺丝柱子^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/丝杆^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/40圆环磁铁^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/40圆环磁铁^承托盘集合_外观装配体006_aihitplt-4;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/40圆环磁铁^承托盘集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/40圆环磁铁^承托盘集合_外观装配体006_aihitplt-3;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-1/光轴座^仰角装配_底盘装配集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-2/光轴座^仰角装配_底盘装配集合_外观装配体006_aihitplt-2;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/安装小片^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/激光传感器测距模块^承托盘集合_外观装配体006_aihitplt-1;外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/中间主壳^黑壳集合_外观装配体006_aihitplt-1,base_link_axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,6.10622663543836E-16,-0.0326810643555513,1.01307850997046E-15,0,0,0,0.665581459621752,0.000790558223819978,-7.98741710280396E-18,8.23005249504451E-09,0.00122742291312853,-1.29863935729223E-17,0.00079055834768967,0,0,0,0,0,0,package://aihitplt/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aihitplt/meshes/left_wheel.STL,,外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-1/驱动轮^仰角装配_底盘装配集合_外观装配体006_aihitplt-1,left_wheel_axis,left_wheel,left_wheel_joint,continuous,0,0.147999999999998,0.0264999999999953,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_wheel,-6.10622663543836E-16,0.0326810643555514,-1.01307850997046E-15,0,0,0,0.665581459621751,0.000790558223819978,-8.06595033487221E-18,-8.2300524953308E-09,0.00122742291312853,-1.29989285291796E-17,0.00079055834768967,0,0,0,0,0,0,package://aihitplt/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aihitplt/meshes/right_wheel.STL,,外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/仰角装配^底盘装配集合_外观装配体006_aihitplt-2/驱动轮^仰角装配_底盘装配集合_外观装配体006_aihitplt-1,right_wheel_axis,right_wheel,right_wheel_joint,continuous,0,-0.158000000000001,0.0265000000000054,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_front_wheel_link,-0.00260496978540975,-0.0230000052826789,0.00449047298458105,0,0,0,0.101862956416736,4.45159120012986E-05,2.67809343369774E-13,8.00070792008144E-06,4.76642085033965E-05,9.87148325908721E-12,3.56323315703063E-05,0,0,0,0,0,0,package://aihitplt/meshes/left_front_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aihitplt/meshes/left_front_wheel_link.STL,,外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/2寸万向轮^底盘装配集合_外观装配体006_aihitplt-1,turn_wheel_1_axis,turn_wheel_1,left_front_wheel_joint,fixed,0.200000000000002,0.136000000000001,-0.011000000000005,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_front_wheel_link,-0.00260496978541069,0.0229999947173212,0.00449047298457972,0,0,0,0.101862956416736,4.45159120012986E-05,2.67809343390069E-13,8.00070792008145E-06,4.76642085033965E-05,9.87148326320404E-12,3.56323315703063E-05,0,0,0,0,0,0,package://aihitplt/meshes/right_front_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aihitplt/meshes/right_front_wheel_link.STL,,外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/2寸万向轮^底盘装配集合_外观装配体006_aihitplt-2,turn_wheel_2_axis,turn_wheel_2,right_front_wheel_joint,fixed,0.200000000000008,-0.145999999999999,-0.0109999999999967,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_back_wheel_link,-0.00260496978540972,-0.0230000052826789,0.00449047298458106,0,0,0,0.101862956416736,4.45159120012987E-05,2.67809344172736E-13,8.00070792008145E-06,4.76642085033965E-05,9.87148325375825E-12,3.56323315703063E-05,0,0,0,0,0,0,package://aihitplt/meshes/left_back_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aihitplt/meshes/left_back_wheel_link.STL,,外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/2寸万向轮^底盘装配集合_外观装配体006_aihitplt-3,turn_wheel_3_axis,turn_wheel_3,left_back_wheel_joint,fixed,-0.159999999999998,0.135999999999993,-0.0109906912310242,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_back_wheel_link,-0.00271853332667416,0.0229999947823981,0.00442264393896721,0,0,0,0.10186294764923,4.4102590095551E-05,-5.72021106673411E-14,8.21658351259278E-06,4.76642072466468E-05,9.8028051701133E-12,3.60456528126852E-05,0,0,0,0,0,0,package://aihitplt/meshes/right_back_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aihitplt/meshes/right_back_wheel_link.STL,,外观装配体006^aihitplt-1/底盘装配集合^外观装配体006_aihitplt-1/2寸万向轮^底盘装配集合_外观装配体006_aihitplt-4,turn_wheel_4_axis,turn_wheel_4,right_back_wheel_joint,fixed,-0.159999999999992,-0.146000000000006,-0.0109906912310054,0,0,0,base_link,0,0,0,,,,,,,,,,,,
laser,-0.024777095912526,-1.02001740387436E-15,-0.0155722503068122,0,0,0,0.111368058767952,4.41831113197674E-05,2.82167341644151E-21,-8.15748656311962E-21,4.41217520882522E-05,-5.3589920011817E-20,4.28225378576191E-05,0,0,0,0,0,0,package://aihitplt/meshes/laser.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aihitplt/meshes/laser.STL,,外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/激光雷达^黑壳集合_外观装配体006_aihitplt-1,laser_axis,Axis_laser_joint,laser_joint,fixed,0.191027095912531,-0.00499999999999361,0.189499999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
anti_fall_link,-0.0034770812621652,1.90819582357449E-17,1.11022302462516E-16,0,0,0,0.000939603781253522,2.80391363262121E-08,-5.90201646174052E-24,5.79026428787119E-24,1.48099046145384E-08,1.66164012133694E-09,1.79144921286249E-08,0,0,0,0,0,0,package://aihitplt/meshes/anti_fall_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aihitplt/meshes/anti_fall_link.STL,,外观装配体006^aihitplt-1/承托盘集合^外观装配体006_aihitplt-1/激光传感器测距模块^承托盘集合_外观装配体006_aihitplt-1,anti_fall_axis,Axis_anti_fall_joint,anti_fall_joint,fixed,0.206920715709138,-0.00499999999999156,0.211799552681791,0,0.558599315343565,0,base_link,0,0,0,,,,,,,,,,,,
ir_camera_link,-0.0151676269497037,0.0425764558345857,-0.000105259331368485,0,0,0,0.157271964402942,0.000342153405219356,-1.49601115336739E-07,1.51432943329201E-07,2.86481269074011E-05,-8.91286262762428E-10,0.000354610099445598,0,0,0,0,0,0,package://aihitplt/meshes/ir_camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aihitplt/meshes/ir_camera_link.STL,,外观装配体006^aihitplt-1/黑壳集合^外观装配体006_aihitplt-1/深度相机02^黑壳集合_外观装配体006_aihitplt-1,ir_camera_axis,Axis_ir_camera_joint,ir_camera_joint,fixed,0.246000000000006,-0.0476020026925012,0.0670882187391721,0,0,0,base_link,0,0,0,,,,,,,,,,,,
